id;name;picture;picture_content_type;animal
1;lime Internal;../fake-data/blob/hipster.png;image/png;GOAT
2;Assurance;../fake-data/blob/hipster.png;image/png;CHICKEN
3;Directives panel;../fake-data/blob/hipster.png;image/png;COW
4;Balanced cyan;../fake-data/blob/hipster.png;image/png;COW
5;orchid Personal Loan Account;../fake-data/blob/hipster.png;image/png;CHICKEN
6;value-added FTP;../fake-data/blob/hipster.png;image/png;CHICKEN
7;solid state Jewelery Keyboard;../fake-data/blob/hipster.png;image/png;GOAT
8;payment;../fake-data/blob/hipster.png;image/png;COW
9;Mauritania efficient haptic;../fake-data/blob/hipster.png;image/png;GOAT
10;capacity program Tuna;../fake-data/blob/hipster.png;image/png;PIG
